"week","team","opponent_team"
17,"SEA","PIT"
17,"KC","CIN"
17,"DEN","LAC"
17,"MIN","GB"
18,"ATL","NO"
18,"BUF","MIA"
18,"CHI","GB"
18,"CLE","CIN"
18,"DAL","WAS"
18,"DEN","LV"
18,"HOU","IND"
18,"JAX","TEN"
18,"KC","LAC"
18,"MIN","DET"
18,"NYJ","NE"
18,"PHI","NYG"
18,"PIT","BAL"
18,"LA","SF"
18,"SEA","ARI"
18,"TB","CAR"
18,"NO","ATL"
18,"MIA","BUF"
18,"GB","CHI"
18,"CIN","CLE"
18,"WAS","DAL"
18,"LV","DEN"
18,"IND","HOU"
18,"TEN","JAX"
18,"LAC","KC"
18,"DET","MIN"
18,"NE","NYJ"
18,"NYG","PHI"
18,"BAL","PIT"
18,"SF","LA"
18,"ARI","SEA"
18,"CAR","TB"
